Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,IsAccurate,Unnamed: 0,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,LapTimePerKM
HAM,Mercedes,42.0,95.867,2.0,MEDIUM,21.0,1.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,16.508868606853795
VET,Ferrari,16.0,98.20800000000001,1.0,SOFT,19.0,3.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,16.912002755295333
VET,Ferrari,31.0,97.59400000000001,2.0,SOFT,15.0,3.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,16.806268296883072
SAI,McLaren,26.0,100.522,1.0,SOFT,29.0,5.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,17.310487342862064
RUS,Williams,25.0,100.548,1.0,MEDIUM,25.0,18.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,17.314964697778542
RAI,Alfa Romeo,15.0,100.313,1.0,MEDIUM,15.0,17.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,17.274496297571897
RAI,Alfa Romeo,36.0,99.631,2.0,HARD,21.0,16.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,17.157051833993457
BOT,Mercedes,17.0,96.44900000000001,1.0,SOFT,20.0,1.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,16.60909247459962
BOT,Mercedes,36.0,95.85300000000001,2.0,MEDIUM,19.0,1.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,16.506457723437233
GRO,Haas F1 Team,16.0,101.39800000000001,1.0,SOFT,19.0,16.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,17.461339762355777
KUB,Williams,22.0,102.435,1.0,MEDIUM,22.0,19.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,17.639917341140002
